year,quarter,region,temperature,dew_point,precipitation,wind_speed,humidity,rice_yield_per_hectare
2015,1,1,26.77,18.19,0.08,11.26,73,0.6299952153
2015,2,1,27.19,22.74,1.36,7.48,84,0.2405311005
2015,3,1,27.42,22.77,4.1,5.74,82,0.2679497608
2015,4,1,27.07,21.83,1.58,4.7,73,2.56576555
2016,1,1,25.84,18.55,0.34,6.14,69,0.6711794258
2016,2,1,29.55,21.48,1.16,6.23,73,0.2701411483
2016,3,1,27.87,22.32,8.28,7.81,78,0.2641315789
2016,4,1,27.9,21.33,0.66,6.33,71,2.6290311
2017,1,1,26.83,20,0.69,5.9,72,0.7503421053
2017,2,1,29.94,22.06,2.01,5.68,69,0.30065311
2017,3,1,26.74,21.84,5.88,9.19,94,0.2727272727
2017,4,1,27.5,21.73,0.14,5.17,79,2.761672249
2018,1,1,27.18,19.71,0.13,6.04,73,0.7332416268
2018,2,1,30.48,21.68,0.75,6.1,66,0.2970454545
2018,3,1,27.77,22.06,2.86,8.35,71,0.3049497608
2018,4,1,27.4,21.27,0.47,6.2,85,2.851502392
2019,1,1,25.5,17.82,0.03,6.25,69,0.7565789474
2019,2,1,30.68,22.06,0.76,5.68,67,0.341861244
2019,3,1,27.97,22.26,2.74,7.32,85,0.3047631579
2019,4,1,27.43,20.73,0.14,5.93,73,2.893995215
2020,1,1,26.21,17.61,0.05,6.23,64,0.784222488
2020,2,1,30.26,21.16,0.76,6.74,68,0.3373038278
2020,3,1,28.03,22.522,9.75,7.26,77,0.2367535885
2020,4,1,27.87,20.53,0.08,5.4,75,2.893205742
2021,1,1,27.21,18.21,0.21,6.86,69,0.7595598086
2021,2,1,30.45,22.13,1.8,6.13,75,0.3649330144
2021,3,1,27.45,22.81,6.71,9.19,81,0.3639545455
2021,4,1,27.87,21.2,0.33,5.4,68,2.859624402
2022,1,1,26.64,18.07,0.66,5.96,74,0.796145933
2022,2,1,30.45,22.13,1.8,6.13,75,0.3649330144
2022,3,1,28.23,23.16,6.62,7.71,79,0.4062799043
2022,4,1,27.43,22.23,2.44,5.6,78,2.894488038
2023,1,1,27.14,19.18,0.34,8.04,63,0.7876291866
2023,2,1,30.55,22.71,2.18,6.97,67,0.3848779904
2023,3,1,26.94,22.87,9.89,12.68,75,0.3647488038
2023,4,1,27.37,21.33,1.1,5.7,75,2.577552632
2024,1,1,26.96,19.46,0.06,7.46,73,0.7895933014
2024,2,1,30.87,22.94,4.39,7.42,68,0.3799162679
2024,3,1,27.1,23.68,22.96,11.61,81,0.4456100478
2024,4,1,26.2,21.53,5.87,7.07,73,2.813744019
2025,1,1,25.86,17.34,0.13,8.72,64,0.7928732057
2025,2,1,30.26,23.29,4.78,7.94,70,0.391069378
2025,3,1,28.1,23.29,15.47,7.68,11.48,0.391069378
2025,4,1,27,21.5,1.63,7.67,77,2.915688995
2015,1,2,22.83,18.21,3.53,3.13,87,0.7908971292
2015,2,2,23.56,20.21,11.45,3.02,87,0.2330956938
2015,3,2,23.9,20.45,7.23,4.21,81,0.917784689
2015,4,2,21.98,21.03,5.14,3.5,81,0.8936196172
2016,1,2,24.24,19.52,4.32,3.34,85,0.9151076555
2016,2,2,24.38,20.54,8.54,3.67,84,0.2880167464
2016,3,2,25.91,21.14,11.23,3.932,81,0.9250095694
2016,4,2,21.65,20.21,5.07,3.56,84,0.8482966507
2017,1,2,24,19,4.33,4.25,80.67,0.9174497608
2017,2,2,26.21,21.1,2.81,3.97,83,0.3423014354
2017,3,2,25.81,20.39,4.05,4.06,80,0.9137464115
2017,4,2,22.21,20.56,5.04,3.54,85,0.8669354067
2018,1,2,23.69,21.23,6.74,5.23,79,0.9629521531
2018,2,2,25.55,20.91,5.92,3.88,84,0.3180717703
2018,3,2,25.97,21.23,13.32,3.84,81,0.9565645933
2018,4,2,25.9,21.73,4.99,3.57,75,0.9864449761
2019,1,2,26.6,20.9,5.13,4.89,81.55666667,0.9548325359
2019,2,2,27.45,22.65,3.21,4.01,81,0.3453133971
2019,3,2,26.21,22.12,15.95,3.75,83,1.062282297
2019,4,2,24.32,20.75,5.09,3.67,83,0.9027607656
2020,1,2,27,21.21,5.4,5.21,80.40888889,0.9723492823
2020,2,2,23.18,20.0012,14.21,2.96,89,0.2084665072
2020,3,2,25.84,21.02,9.21,4.01,81,0.9400406699
2020,4,2,25.45,21.522,5.21,3.48,77,0.9692009569
2021,1,2,25.89,19.43,3.75,3.28,76.67,0.8264401914
2021,2,2,23.18,20.0012,14.21,2.96,89,0.2084665072
2021,3,2,26.14,21.23,16.41,3.81,82,1.01695933
2021,4,2,25.87,21.34,5.22,3.56,76,0.9727248804
